host,host.inst.area,country,webpage,original.address,latitude,longitude
Seoul National University Hospital.</p> <p>Aribio.,Seoul,South Korea,https://www.snuh.org/english/</p> <p>http://www.aribio.com/new/dok.html <br>,"Seoul, South Korea",37.566535,126.977969
"Faculty of Medicine, University of Colombo, Sri Lanka",Colombo,Sri Lanka,"<a href=""http://www.cmb.ac.lk/"" rel=""nofollow"">http://www.cmb.ac.lk/</a>",Colombo,6.927079,79.861243
Joseph Fraser Memorial Hospital (1 week)</p> <p>Colombo South (Kalubowila) Teaching Hospital (2 weeks)</p> <p>Kurunegala Teaching Hospital (1 week),Colombo and Kurunegala.,Sri Lanka,Colombo South (Kalubowila) Teaching Hospital: http://www.sjp.ac.lk/fms/index.php/csth?id=16</p> <p>Kurunegala Teaching Hospital: http://www.kurunegalahospital.health.gov.lk/en/,Colombo and Kurunegala.,7.456289,80.346172
University of Colombo,"Colombo, Sri Lanka",Sri Lanka,http://www.cmb.ac.lk/,"Colombo, Sri Lanka神",6.914691,79.872425
Karapitiya Teaching Hospital,Galle,Sri Lanka,http://www.medi.ruh.ac.lk/,Galle,6.053519,80.220977
"Faculty of Medicine, University of Ruhuna.",Galle,Sri Lanka,Www.medi.ruh.ac.lk,Galle,6.053519,80.220977
"Karapitiya Hospital, Galle, Sri Lanka",Galle,Sri Lanka,none,Galle,6.053519,80.220977
"Karapitiya Hospital, University of Ruhuna",Galle,Sri Lanka,deanmedruh@sltnet.lk,Galle,6.053519,80.220977
Karapitiya Teaching Hospital,Galle,Sri Lanka,http://www.medi.ruh.ac.lk/index.php/elective-program-home,Galle,6.053519,80.220977
"Karapitiya Teaching Hospital, University of Ruhuna, Sri Lanka",Galle,Sri Lanka,"<a href=""http://www.medi.ruh.ac.lk"" rel=""nofollow"">http://www.medi.ruh.ac.lk</a>",Galle,6.053519,80.220977
University of Ruhuna,Galle,Sri Lanka,http://www.medi.ruh.ac.lk/,Galle,6.053519,80.220977
"University of Ruhuna, Sri Lanka","Galle, Southern Province, Sri Lanka",Sri Lanka,<strong>www.ruh.ac.lk</strong>,"Galle, Southern Province, Sri Lanka",6.053519,80.220977
Karapitiya Teaching Hospital+Mahamodera Maternity Hospital,"Galle, Sri Lanka",Sri Lanka,N/A,"Galle, Sri Lanka",6.053519,80.220977
Karapitiya Teaching Hospital,"Galle, Sri Lanka",Sri Lanka,deanmedruh@sltnet.lk,"Galle, Sri Lanka",6.053519,80.220977
Kandy General Hospital,Kandy,Sri Lanka,www.kandy-hospital.health.gov.lk</p> <br> <p>https://www.mariecurie.org.uk/help/hospice-care/hospices/cardiff/about <br>,"Kandy, Sri Lanka",7.290572,80.633726
"Karapitiya Teaching Hospital, Faculty of medicine, University of Ruhuna","Karapitiya, Galle",Sri Lanka,http://www.medi.ruh.ac.lk,"Karapitiya, Galle神",6.070582,80.22516
"University of Ruhuna, Karapitiya Hospital","Karapitiya, Galle",Sri Lanka,http://www.medi.ruh.ac.lk/,"Karapitiya, Galle",6.070582,80.22516
"Karapitiya Teaching Hospital, University of Ruhunu","Galle, Sri Lanka (please refer to <a href=""https://www.gov.uk/government/world/sri-lanka"" rel=""nofollow"">https://www.gov.uk/government/world/sri-lanka</a>)",Sri Lanka,"University of Ruhunu (please refer to <a href=""http://www.ruh.ac.lk/"" rel=""nofollow"">http://www.ruh.ac.lk/</a>)","Galle, Sri Lanka (please refer to <a href=https://www.gov.uk/government/world/sri-lanka"" rel=""nofollow"">https://www.gov.uk/government/world/sri-lanka</a>)""",6.070582,80.22516
"Department of Surgery, Victoria Hospital",Castries,St Lucia,,"Castries, St Lucia",14.010109,-60.987469
Victoria Hospital,Castries,St Lucia,n/a,"Castries, St Lucia",14.010109,-60.987469
Victoria Hospital,Castries,St Lucia,"<div class=""ms-rtestate-field"" style=""word-wrap: break-word;display: inline;""> <div style=""word-wrap: break-word;display: inline;""> <div style=""text-align: right;""><strong>Lisa Charles &lt;vhmddirector@gmail.com&gt;<br> </strong></div> </div> </div>","Castries, St Lucia",14.010109,-60.987469
Victoria Hospital,Castries,St Lucia,n/a,"Castries, St Lucia",14.010109,-60.987469
Victoria Hospital,Castries,St Lucia,<Unanswered>,"Castries, St Lucia",14.010109,-60.987469
Victoria Hospital,Castries,St Lucia,N/A,"Castries, St Lucia",14.010109,-60.987469
Victoria Hospital St Lucia,Castries,St Lucia,N/A,"Castries, St Lucia",14.010109,-60.987469
"Victoria Hospital, St Lucia",Castries,St Lucia,vhmddirector@gmail.com,"Castries, St Lucia",14.010109,-60.987469
Victoria Hospital,"Castries, Saint Lucia. This is the capital of Saint Lucia.",St Lucia,There is no web address.,"Castries, Saint Lucia. This is the capital of Saint Lucia.神",13.909444,-60.978893
"Victoria General Hospital, St Lucia","Castries, St Lucia",St Lucia,n/a,"Castries, St Lucia",14.010109,-60.987469
"Victoria Hospital, Castries","Castries, St Lucia",St Lucia,http://www.electives.net/hospital/2883/preview,"Castries, St Lucia神",14.010109,-60.987468
"Victoria Hospital, St Lucia","Castries, St Lucia",St Lucia,N/A,"Castries, St Lucia",14.010109,-60.987469
Victoria Hospital,"Saint Lucia, Castries",St Lucia,N/A,"Saint Lucia, Castries",14.010109,-60.987469
"Victoria Hospital, St Lucia.","Castries, St Lucia.",St Lucia,No official website -http://www.electives.net/hospital/2883/preview,"Castries, St Lucia.",14.010109,-60.987469
Victoria Hospital - St. Lucia,Castries,St Lucia,n/a,"Castries, St Lucia",14.010109,-60.987469
Milton Cato Memorial Hospital,"Kingstown, St Vincent",St Vincent and The Grenadines,n/a,"Kingstown, St Vincent",13.12717,-61.190629
"Milton Cato Memorial HospitAl, St Vincent","Kingstown, St Vincent",St Vincent and the Grenadines,-,"Kingstown, St Vincent",13.12717,-61.190629
"Gallivare Hospital, Gallivare","Gallivare, Norbottens, Sweden",Sweden,http://www.nll.se/gallivaresjukhus,"Gallivare, Norbottens, Sweden",67.1379,20.659362
Centre Hospitalier Universitaire Vaudois (Switzerland),"Lausanne, Switzerland",Switzerland,http://www.chuv.ch/,"Lausanne, Switzerland",46.519962,6.633597
Mount Meru Hospital,Arusha,Tanzania,Not applicable,Arusha,-3.372301,36.694414
Mt Meru Hospital,Arusha,Tanzania,Elective Africa http://electiveafrica.com/programs/medical,Arusha,-3.372301,36.694414
Mt Meru Hospital,Arusha,Tanzania,http://eol.habari.co.tz/mt-meru-hosp.htm,Arusha,-3.372301,36.694414
Mount Meru Regional Hospital,"Arusha, Tanzania",Tanzania,N/A,"Arusha, Tanzania",-3.372301,36.694414
Amana Hospital (Tanzania),Dar Es Salaam,Tanzania,,"Dar Es Salaam, Tanzania",-6.8,39.283333
Muhimbili National Hospital and Kidodi Village Hospital,Dar Es Salaam and Kidodi Village,Tanzania,"The placement was organised by Work The World (www.worktheworld.co.uk)</p> <p>The hospital has its own website:<span style=""color: rgb(0,102,33);font-family: arial , sans-serif;font-size: 14.0px;font-style: normal;line-height: 16.0px;white-space: nowrap;background-color: rgb(255,255,255);"">www.mnh.or.tz</span>",Dar Es Salaam and Kidodi Village,-6.8,39.283333
"Muhimbili National Hospital, Dar es Salaam, Tanzania (3 weeks)</p> <p>Kidodi Healthcare Clinic, Kidodi Village, Tanzania (1 week)","Dar es Salaam, Tanzania</p> <p>Kidodi village, Tanzania",Tanzania,"Placement with host institutions was organised by an electives company, Work the World. Their website can be found at: www.worktheworld.co.uk/</p> <p>The host institution we were primarily based with, Muhimbili National Hospital, has a website which can be found at this address:http://www.mnh.or.tz","Dar es Salaam, Tanzania</p> <p>Kidodi village, Tanzania",-6.8,39.283333
Kilimatinde Hospital and Manyoni District Hospital,Kilimatinde and Manyoni in the Singida region,Tanzania,http://www.kilimatindetrust.org.uk/the-hospital/,Kilimatinde and Manyoni in the Singida region,-5.8335,34.964443
Kilimatinde Hospital,"Kilimatinde village, Manyoni District, Singida Region of Central Tanzania",Tanzania,http://www.kilimatinde.org/,"Kilimatinde village, Manyoni District, Singida Region of Central Tanzania",-5.8335,34.964443
Mnazi Mmoja Hospital,"Stone Town, Zanzibar",Tanzania,not available,"Stone Town, Zanzibar",-6.162222,39.192073
Mnazi Mmoja Hospital,"Stone Town, Zanzibar",Tanzania,Not available,"Stone Town, Zanzibar",-6.162222,39.192073
Mnazi Mmoja Hospital,"Stone Town, Zanzibar",Tanzania,Unavailable,"Stone Town, Zanzibar",-6.162222,39.192073
"Mnazi Mmoja Hospital, Zanzibar","Unguja Island, Zanzibar",Tanzania,mnazimmoja.blogspot.co.uk,"Unguja Island, Zanzibar",-6.165917,39.202641
"Kilimatinde Hospital, rural Tanzania","Kilimatinde, Singita region. Tanzania.",Tanzania,www.kilimatindetrust.org.uk,"Kilimatinde, Singita region. Tanzania.神",-5.8335,34.964443
Southland Clinic,Koh Phangan,Thailand,http://www.kohphanganthailand.com/health-clinics/southland-medical-clinic.htm,Koh Phangan,9.731875,100.013593
Southland Clinic,Koh Phangan,Thailand,http://www.kohphanganthailand.com/health-clinics/southland-medical-clinic.htm,Koh Phangan,9.731875,100.013593
Mae Tao Clinic,Mae Sot,Thailand,www.maetaoclinic.org,Mae Sot,16.712405,98.574665
Princess Margaret Hospital,Nassau,The Bahamas,http://pmh.phabahamas.org/contact-us/,Nassau神,25.06,-77.345
Princess Margert Hospital,"Nassau, Bahamas.",The Bahamas,http://pmh.phabahamas.org/,"Nassau, Bahamas.神",25.06,-77.345
Perpertual Succour Hospital,Cebu,The Philippines,www.phscebu.ph,Cebu,10.315699,123.885437
Scarborough General Hospital,"Scarborough, Tobago.",Tobago,http://trha.co.tt/delta/,"Scarborough, Tobago.",11.183333,-60.7375
Scarborough Regional Hospital,"Scaeborough, Tobago",Tobago,Not applicable,"Scaeborough, Tobago",11.183333,-60.7375
Scarborough General Hospital,Scarborough,Tobago,mcos.assistant.trha@gmail.com,"Scaeborough, Tobago",11.183333,-60.7375
Scarborough General Hospital,Scarborough,Tobago,http://trha.co.tt/delta/,"Scaeborough, Tobago",11.183333,-60.7375
Scarborough General Hospital,"Scarborough, Tobago",Tobago,http://trha.co.tt/delta/,"Scarborough, Tobago",11.183333,-60.7375
Scarborough General Hospital,"Scarborough <div style=""display: none;""></div> <div style=""display: none;""></div> <div style=""display: none;""></div> <div style=""display: none;""></div>",Tobago,"http://trha.co.tt/delta/ <div style=""display: none;""></div> <div style=""display: none;""></div> <div style=""display: none;""></div> <div style=""display: none;""></div>","Scarborough, Tobago",11.183333,-60.7375
Scarborough General Hospital,Scarborough,Tobago,http://trha.co.tt/delta/,"Scarborough, Tobago",11.183333,-60.7375
"Scarborough General Hospital, Tobago Regional Health Authority, Trinidad and Tobago","Scarborough, Tobabgo, Trinidad and Tobago, West Indies</p> <p>http://trha.co.tt/delta/",Tobago,http://trha.co.tt/delta/,"Scarborough, Tobago",11.183333,-60.7375
"Vaiola Hospital, Tongatapu</p> <p>Prince Wellington Ngu Hospital, Vava'u",Nuku'alofa,Tonga,"<cite class=""_Rm"">www.<b>tonga</b>health.org/#!contact/c1z0x</cite>",Nuku'alofa,-21.133333,-175.2
Vaiola Hospitaland Prince Wellington NGU Hospital,Nuku'alofa and Vava'u,Tonga,N/A,Nuku'alofa and Vava'u,-18.581196,-173.985008
"Vaiola Hospital, Tongatapu",Nuku'alofa in Tongatapu,Tonga,not applicable,Nuku'alofa in Tongatapu,-21.133333,-175.2
Vaiola Hospital and community Hospital in Va'vau,Nuku'alofa Tonga,Tonga,N/A,Nuku'alofa Tonga,-21.133333,-175.2
"Vaiola Hospital, nuku'alofa, Tonga ","nuku'alofa, Tonga",Tonga,N/a,Nuku'alofa,-21.133333,-175.2
"Vaiola Hospital, Tongatapu, Tonga</p> <p>Prince Wellington Ngu, Vava'u, Tonga",Tongatapu and Vava'u,Tonga,Not available,Tongatapu and Vava'u,-18.581196,-173.985008
"Vaiola Hospital, Vaiola Rd, Nuku'alofa, Tonga</p> <p>Prince Wellington Ngu Hospital, Vava'u, Tonga","Vaiola Hospital - Nuku'alofa, Tongatapu</p> <p>Prince Wellington Hospital - Vava'u",Tonga,"<br> <a href=""mailto:sesi.lausii@gmail.com"" rel=""nofollow"" rel=""nofollow"">sesi.lausii@gmail.com</a>","Vaiola Hospital - Nuku'alofa, Tongatapu</p> <p>Prince Wellington Hospital - Vava'u",-18.581196,-173.985008
Peebles Hospital,Road Town,"Tortola, British Virgin Islands",http://www.bvihsa.vg/,Road Town,18.431389,-64.623056
"Scarborough General Hospital, Tobago","Scarborough, Tobago, Trinidad &amp; Tobago",Trinidad and Tobago,http://trha.co.tt/delta/,"Scarborough, Tobago, Trinidad &amp; Tobago",11.231771,-60.698199
Scarborough General Hospital,Scarborough,Trinidad and Tobago,n/a,Scarborough,54.283113,-0.399752
Scarborough General Hospital,"Scarborough, Tobago",Trinidad and Tobago,N/A,"Scarborough, Tobago",11.183333,-60.7375
Scarborough General Hospital,"Scarborough, Tobago",Trinidad and Tobago,"No, but contactable by phone. <span style=""color: rgb(0,0,0);font-family: Arial;font-size: 12.0px;font-style: normal;font-variant: normal;font-weight: normal;letter-spacing: normal;line-height: normal;text-indent: 0.0px;text-transform: none;white-space: normal;widows: 1;word-spacing: 0.0px;"">(868)-660-4SGH</span><br style=""color: rgb(85,85,85);font-family: Arial;font-size: 12.0px;font-style: normal;font-variant: normal;font-weight: normal;letter-spacing: normal;line-height: normal;text-indent: 0.0px;text-transform: none;white-space: normal;widows: 1;word-spacing: 0.0px;""><span style=""color: rgb(0,0,0);font-family: Arial;font-size: 12.0px;font-style: normal;font-variant: normal;font-weight: normal;letter-spacing: normal;line-height: normal;text-indent: 0.0px;text-transform: none;white-space: normal;widows: 1;word-spacing: 0.0px;"">                             (868)-660-4744</span>","Scarborough, Tobago",11.183333,-60.7375
Scarborough General Hostpital,"Scarborough, Tobago",Trinidad and Tobago,http://trha.co.tt/delta/,"Scarborough, Tobago神",11.231771,-60.698199
Jinja Referral Hospital,Jinja,Uganda,Not available,"Jinja, Uganda",0.424444,33.204167
Kagando Hospital,"Kasese district, Western Uganda",Uganda,"<a href=""http://www.kagando.org/giving/volunteer-a-student-information"" rel=""nofollow"">http://www.kagando.org/giving/volunteer-a-student-information</a></p> <p></p> <p><a href=""http://www.friendsofkagando.org.uk/"" rel=""nofollow"">http://www.friendsofkagando.org.uk/</a>","Kasese district, Western Uganda",0.064628,30.066524
Soroti Regional Referral Hospital,Soroti,Uganda,N/A,Soroti,1.715,33.611111
Helminth Control Laboratory Unguja,"Stonetown, Unguja island, Zanzibar, Tanzania",Tanzania,Not available,"Stonetown, Unguja island, Zanzibar, Tanzania",-6.15791,39.191998
"Wolfson Wellcome Biomedical Laboratories, Department of Life Sciences, Natural History Museum","Stonetown, Unguja island, Zanzibar, Tanzania",Tanzania,Not available,"Stonetown, Unguja island, Zanzibar, Tanzania",-6.15791,39.191998
"Skull Base Lab, Neurosciece Department, Cornell University (New York)",New York City,United Stated of America,First four weeks:http://weillcornellbrainandspine.org/skull-base-lab</p> <br> <p>Second two weeks:http://nymemorycenter.org,New York City,40.712784,-74.005941
New York Memory Centre,New York City,United Stated of America,First four weeks:http://weillcornellbrainandspine.org/skull-base-lab</p> <br> <p>Second two weeks:http://nymemorycenter.org,New York City,40.712784,-74.005941
"Tanana Chief Conference, Chief Andrew Isaac Medical Center","Fairbanks, Alaska",United Stated of America,http://www.tananachiefs.org,"1. Tokyo , Japan",64.845361,-147.743641
Baylor College of Medicine / Texas Children's Hospital,"Houston, Texas",United Stated of America,"<a href=""https://www.bcm.edu/"" rel=""nofollow"">https://www.bcm.edu/</a></p> <p><a href=""http://www.texaschildrens.org/"" rel=""nofollow"">http://www.texaschildrens.org/</a></p> <p>","Houston, Texas",29.760427,-95.369803
Yale New Haven Hospital,"New Haven, Connecticut",United Stated of America,http://medicine.yale.edu/,"New Haven, Connecticut",41.308274,-72.927883
Weill Cornell Medical College,New York City,United Stated of America,"<a href=""https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0CCIQFjAA&url=http%3A%2F%2Fweillcornellbrainandspine.org%2Fskull-base-lab&ei=P481VYO2Oo7joASPhYCIBg&usg=AFQjCNEWz2dsz5ajPjo6t05duR5kVU8CxQ&sig2=j0RsJiu1nPfd7fMQDrXPfQ&bvm=bv.91386359,d.cGU"" rel=""nofollow"">The Skull Base Lab | Weill Cornell Brain and Spine Center</a>",New York City,40.712784,-74.005941
Beth Israel Deaconness Medical Center,Boston,United States of America,www.bidmc.org,Boston,42.360083,-71.05888
Lyndon B. Johnson General Hospital,"Houston, TX",United States of America,"Project 1: jamie.d.munsinger@uth.tmc.edu (Office of Admission and Student Affairs at University of Texas Health Science Center at Houston, TX, USA).</p> <p>Project 2: aieridou@mphs.moh.gov.cy(Health Services Senior Officer at the Nicosia, General Hospital, Nicosia, Cyprus).<a class=""o365button"" style=""background-color: rgb(255,255,255);border-width: 0.0px;padding: 0.0px;cursor: pointer;font-size: 14.0px;color: rgb(0,0,0);font-family: wf_segoe-ui_normal , &quot;Segoe UI&quot; , &quot;Segoe WP&quot; , Tahoma , Arial , sans-serif;font-style: normal;font-variant: normal;font-weight: normal;letter-spacing: normal;line-height: normal;orphans: 2;text-indent: 0.0px;text-transform: none;white-space: nowrap;widows: 2;word-spacing: 0.0px;"" rel=""nofollow""><span class=""_rpc_s1 ms-font-s allowTextSelection _rpc_S1 ms-font-color-themePrimary"" style=""color: rgb(145,24,68);font-family: wf_segoe-ui_normal , &quot;Segoe UI&quot; , &quot;Segoe WP&quot; , Tahoma , Arial , sans-serif;font-size: 12.0px;font-weight: normal;""><br>  </span></a>","Houston, TX",29.760427,-95.369803
Johns Hopkins School of Medicine <br>,"Baltimore, Maryland MD 21205 <br>",United States of America,"<ol> <li><a href=""http://www.hopkinsmedicine.com/som/"" rel=""nofollow"">www.hopkinsmedicine.com/som/</a> </ol> <br>","Baltimore, Maryland MD 21205 <br>",39.297529,-76.594788
Bellevue Hospital Center,"Manhatten, New York, New York",United States of America,N/A,"Manhatten, New york, New York</p> <br> <p>Bro Cerwyn, Haverfordwest, Pembrokeshire",51.875708,-4.939193
Northern Provinicial Hospital,Espiritu Santo,Vanuatu,N/A,"Espiritu Santo, Vanuatu",-15.300355,166.91821
Port Vila Central Hospital,"Port Vila, Efate (Island), Vanuatu",Vanuatu,N/A,"Port Vila, Efate (Island), Vanuatu",-17.733251,168.327325
Port Vila Central Hospital,Port Vila,Vanuatu,"<a href=""http://www.electives.net/hospital/3131/preview"" rel=""nofollow"">http://www.electives.net/hospital/3131/preview</a>(closest thing)",Port Vila,-17.733251,168.327325
UHW,Heath campus,Wales,Cardiff.ac.Uk,Heath campus神,51.580143,0.118118
Doctors Accademy,"Doctors Accademy UK, South Wales",Wales,http://www.doctorsacademy.org/,"South Wales, UK",52.130661,-3.783712
University Hospital Wales,South Wales,Wales,n/a,South Wales,52.130661,-3.783712
University Hospital of Wales,Cardiff,Wales,"<a href=""http://www.cardiffandvaleuhb.wales.nhs.uk/home"" rel=""nofollow"" rel=""nofollow"">http://www.cardiffandvaleuhb.wales.nhs.uk/home</a>",Cardiff,51.481581,-3.17909
University Hospital of Wales,Cardiff,Wales,http://www.cardiffandvaleuhb.wales.nhs.uk/our-hospitals,Cardiff,51.481581,-3.17909
Hywel Dda University Health Board in collaboration with the universities of Aberystwyth and Swansea,"Carmarthenshire, South Wales",Wales,www.wales.nhs.uk/siteplus/862/home,"Carmarthenshire, South Wales",51.859854,-4.260853
Pembrokeshire Community Mental Health Team,"Bro Cerwyn, Haverfordwest, Pembrokeshire",Wales,,"Haverfordwest, Pembrokeshire",51.800475,-4.971319
Cardiff University,Cardiff,Wales,http://medicine.cf.ac.uk/primary-care-public-health/,Cardiff,51.481581,-3.17909
Princess of Wales Hospital,Bridgend,Wales,NA,Bridgend,51.504286,-3.576945
Ysbyty Ystrad Fawr,Caerphily,Wales,Www.wales.nhs.uk/sitesplus/866/page/58116,"Caerphilly, Wales",51.578829,-3.218134
"Anaesthetics Department, University Hospital of Wales, Cardiff",Cardiff,Wales,http://www.cardiffandvaleuhb.wales.nhs.uk/anaesthetics-department,Cardiff,51.481581,-3.17909
Cardiff Heath Hospital Department of ENT,Cardiff,Wales,www.Cardiff.ac.uk,Cardiff,51.481581,-3.17909
"Cardiff Royal Infirmary, Cardiff, Wales, United Kingdom",Cardiff,Wales,http://www.cardiffandvaleuhb.wales.nhs.uk/sexual-health,Cardiff,51.481581,-3.17909
Cardiff University School of Biosciences,Cardiff,Wales,http://www.cardiff.ac.uk/research,Cardiff,51.481581,-3.17909
University Hospital of Wales,Cardiff,Wales,www.cardiffandvaleuhb.wales.nhs.uk,,51.481581,-3.17909
"Alzheimer's Disease Research Department, Hadyn Ellis Building",Cardiff,Wales,"Email address: <a href=""mailto:adresearch@cardiff.ac.uk"" rel=""nofollow"">adresearch@cardiff.ac.uk</a>","Cardiff, Wales",51.481581,-3.17909
Royal Glamorgan Hospital,LLantrisant,Wales,http://www.cwmtafuhb.wales.nhs.uk/royal-glamorgan-hospital,LLantrisant,51.542919,-3.374953
Royal Glamorgan Hospital,"Llantrisant , Mid Glamorgan",Wales,"<ul> <li style=""margin-left: 18.0pt;""><a href=""http://www.cwmtafuhb.wales.nhs.uk/royal-glamorgan-hospital"" rel=""nofollow"" rel=""nofollow"">http://www.cwmtafuhb.wales.nhs.uk/royal-glamorgan-hospital<br><br><br><img src=""http://i1348.photobucket.com/albums/p737/Mathew_Rogers/royal%20glam%20website_zpsm42zungf.png"" alt=""Royal Glamogan Website"" width=""520"" height=""261""><br><br>(Royal Glamorgan Website)<br><br><br></a> <li style=""margin-left: 18.0pt;"">http://www.nhslothian.scot.nhs.uk/GoingToHospital/Locations/WGH/Pages/default.aspx<br><br><img src=""http://i1348.photobucket.com/albums/p737/Mathew_Rogers/western%20general%20website_zpsh76tnjll.png"" alt=""Western General Website"" width=""519"" height=""262""><br><br>(Western General Hospital Website) </ul> <br>",Llantrisant ,51.542919,-3.374953
Princess of Wales Hospital,Bridgend,Wales,http://www.wales.nhs.uk/sitesplus/863/page/39377,Bridgend,51.504286,-3.576945
University Hospital of Wales,Cardiff,Wales,www.pah.org.za,Cardiff - Wales and Pretoria - South Africa,51.481581,-3.17909
Royal Gwent Newport,Newport,Wales,<cite>www.wales.nhs.uk/sitesplus/866</cite>,"Newport, Wales",51.584151,-2.997664
"Caswell Clinic, Glanrhyd Hospital",Bridgend,Wales,<Unanswered>,"Bridgend, Wales",51.504286,-3.576945
University Hospital Wales,Cardiff,Wales,"<cite class=""_Rm"">www.wales.nhs.uk</cite>",Cardiff,51.481581,-3.17909
Royal Glamorgan Hospital,Llantrisant,Wales,http://www.cwmtafuhb.wales.nhs.uk/royal-glamorgan-hospital,"Llantrisant, South Wales, UK.",51.542919,-3.374953
Swansea University - Institute of Life Sciences,"Swansea University, Swansea, Wales, UK",Wales,http://www.swansea.ac.uk/ils/,"Swansea University, Swansea, Wales, UK",51.607725,-3.978611
University Hospital of Wales,Cardiff,Wales,http://www.cardiffandvaleuhb.wales.nhs.uk/home,Cardiff,51.481581,-3.17909
Holme Towers,Penarth,Wales,,"Penarth, Wales",51.438798,-3.173507
National University of Samoa -Tupua Tamasese Meaole Hospital,"Apia, Samoa",Western Samoa,http://www.oceaniamed.org/,"Apia, Samoa",-13.833333,-171.75
Mutare Provincial Hospital,"Mutare, Manicaland",Zimbabwe,N/A,"Mutare, Manicaland",-18.966667,32.633333
Mutare Provincial Hospital,"Mutare, Manicaland Province",Zimbabwe,n/a,"Mutare, Manicaland",-18.966667,32.633333
